target_id	Test_Condition	MSE	SE_SD
YAL032C_mRNA	Unbalanced JS	0.0165393481357426	0.0286300791372829
YAL033W_mRNA	Balanced	0.00776175207031973	0.0129699173434805
YAL033W_mRNA	Unbalanced OLS	0.0257854811246614	0.0461449870364306
YAL033W_mRNA	Unbalanced JS	0.0255689083953554	0.045795917445437
YAL034C_mRNA	Balanced	0.0173539452394233	0.0457767246322553
YAL034C_mRNA	Unbalanced OLS	0.0678443564731898	0.207135449710499
YAL034C_mRNA	Unbalanced JS	0.0672676083770017	0.2057926938097
YAL034W-A_mRNA	Balanced	0.0107286203284885	0.0220867831753666
YAL034W-A_mRNA	Unbalanced OLS	0.0415940868840461	0.1233240182331
YAL034W-A_mRNA	Unbalanced JS	0.041203158841686	0.122299244070688
YAL035W_mRNA	Balanced	0.00899827133045526	0.0183320584026423
YAL035W_mRNA	Unbalanced OLS	0.0294174692996166	0.0450423747890239
YAL035W_mRNA	Unbalanced JS	0.0291807886305054	0.0447864376107122
YAL036C_mRNA	Balanced	0.0235372467454887	0.0467234456525442
YAL036C_mRNA	Unbalanced OLS	0.0753972163637748	0.106123838971088
YAL036C_mRNA	Unbalanced JS	0.0748047765654759	0.105429256088078
YAL037C-B_mRNA	Balanced	0.0115684646739952	0.0222274175533307
YAL037C-B_mRNA	Unbalanced OLS	0.0334443687420475	0.0873155303086605
YAL037C-B_mRNA	Unbalanced JS	0.033039737604927	0.0867940039309345
YAL037W_mRNA	Balanced	0.0257088182555686	0.0499336847309495
YAL037W_mRNA	Unbalanced OLS	0.0869242915121214	0.165081595483086
YAL037W_mRNA	Unbalanced JS	0.086083457727915	0.163343041669801
YAL038W_mRNA	Balanced	0.0234426510821628	0.0416130584372295
YAL038W_mRNA	Unbalanced OLS	0.0608736284595524	0.0854064116485555
YAL038W_mRNA	Unbalanced JS	0.0603879619917088	0.0840972469165016
YAL039C_mRNA	Balanced	0.0228204580823425	0.0501494748419476
YAL039C_mRNA	Unbalanced OLS	0.059372145774402	0.0892453524009026
YAL039C_mRNA	Unbalanced JS	0.0586737576398099	0.0884452758925795
YAL040C_mRNA	Balanced	0.0437905437033896	0.0945382486782359
YAL040C_mRNA	Unbalanced OLS	0.141740740693467	0.351747896668859
YAL040C_mRNA	Unbalanced JS	0.140567320253255	0.349656129190896
YAL041W_mRNA	Balanced	0.0139009368871355	0.0331879025083864
YAL041W_mRNA	Unbalanced OLS	0.0541387928755263	0.212534880499805
YAL041W_mRNA	Unbalanced JS	0.0536738969074893	0.211173729322586
YAL042C-A_mRNA	Balanced	0.0942807293247968	0.204481786124634
YAL042C-A_mRNA	Unbalanced OLS	0.234805115941651	0.353749818827074
YAL042C-A_mRNA	Unbalanced JS	0.232328323289435	0.351003982773795
YAL042W_mRNA	Balanced	0.0271966406704602	0.0652416832949305
YAL042W_mRNA	Unbalanced OLS	0.0703166598377073	0.146073136021415
YAL042W_mRNA	Unbalanced JS	0.0695949974788809	0.145230219771638
YAL043C_mRNA	Balanced	0.0071941154887105	0.0122782948821215
YAL043C_mRNA	Unbalanced OLS	0.0252217746291976	0.0396798771960295
YAL043C_mRNA	Unbalanced JS	0.024938924137786	0.0393164246108742
YAL044C_mRNA	Balanced	0.0457688710405153	0.0894976734786319
YAL044C_mRNA	Unbalanced OLS	0.11912276984789	0.201995922962823
YAL044C_mRNA	Unbalanced JS	0.118074702631538	0.19988013439686
YAL044W-A_mRNA	Balanced	0.0232355759904828	0.039485014239192
YAL044W-A_mRNA	Unbalanced OLS	0.0763074167397088	0.103122768193883
YAL044W-A_mRNA	Unbalanced JS	0.0753646257147902	0.102163007636807
YAL045C_mRNA	Balanced	0.0608936069932406	0.10046487588668
YAL045C_mRNA	Unbalanced OLS	0.196071126634786	0.290891048221131
YAL045C_mRNA	Unbalanced JS	0.193597960944599	0.288794593789207
YAL046C_mRNA	Balanced	0.0969738096115009	0.252406286446219
YAL046C_mRNA	Unbalanced OLS	0.245122800946839	0.615059442495748
YAL046C_mRNA	Unbalanced JS	0.242849186776493	0.612217983390522
YAL047C_mRNA	Balanced	0.00964853065900146	0.0199330788363726
YAL047C_mRNA	Unbalanced OLS	0.026595001757941	0.0470816725270022
YAL047C_mRNA	Unbalanced JS	0.0262870161926961	0.0465707710138258
YAL048C_mRNA	Balanced	0.0164594573757511	0.0303715850134685
YAL048C_mRNA	Unbalanced OLS	0.0564895995186804	0.217517640276496
YAL048C_mRNA	Unbalanced JS	0.0560174974936663	0.216701121712985
YAL049C_mRNA	Balanced	0.0137894400896478	0.031444000906823
YAL049C_mRNA	Unbalanced OLS	0.0371508656503004	0.0898467172680524
YAL049C_mRNA	Unbalanced JS	0.0367841696401402	0.0894758092904785
YAL051W_mRNA	Balanced	0.00551783835735397	0.0115167222905061
YAL051W_mRNA	Unbalanced OLS	0.0170886747166328	0.0370787909493788
YAL051W_mRNA	Unbalanced JS	0.0169318599661043	0.0368476294903027
YAL053W_mRNA	Balanced	0.0105757383806109	0.0186836234539988
YAL053W_mRNA	Unbalanced OLS	0.0351965457937076	0.0909640097113358
YAL053W_mRNA	Unbalanced JS	0.0349710326546603	0.0904088041657583
YAL054C_mRNA	Balanced	0.019964612991417	0.0421342345702922
YAL054C_mRNA	Unbalanced OLS	0.0550387060852365	0.0731960851361204
YAL054C_mRNA	Unbalanced JS	0.054198054732239	0.0716742822262543
