Total	Test_Condition	TPR	FPR	q
24	Unbalanced JS	0.136593203257912	0.0273961925342653	0.01
24	Unbalanced OLS	0.130019803024644	0.0259608626525398	0.01
4	Balanced	0.188085955356046	0.0313504982926537	0.02
4	Unbalanced JS	0.245887008469055	0.0452996786512262	0.02
4	Unbalanced OLS	0.186735574804366	0.0274728875572657	0.02
6	Balanced	0.257335955800363	0.0138149912071361	0.02
6	Unbalanced JS	0.202488095771413	0.0350721618564152	0.02
6	Unbalanced OLS	0.166428378140546	0.0252096596413735	0.02
8	Balanced	0.294971501358945	0.0101196883658504	0.02
8	Unbalanced JS	0.185733441009844	0.0404282741187192	0.02
8	Unbalanced OLS	0.159585039742493	0.0343847881278018	0.02
10	Balanced	0.416431264518921	0.0207068421486674	0.02
10	Unbalanced JS	0.188508284231452	0.0468614505727405	0.02
10	Unbalanced OLS	0.167484772081268	0.0419209422803799	0.02
12	Balanced	0.378899045232589	0.018871945613655	0.02
12	Unbalanced JS	0.199932136550387	0.0609743098037141	0.02
12	Unbalanced OLS	0.182029221150388	0.0543645470511948	0.02
14	Balanced	0.443321886775037	0.0155604203080599	0.02
14	Unbalanced JS	0.199887359338529	0.048040192935729	0.02
14	Unbalanced OLS	0.18412851922529	0.0437800488192965	0.02
16	Balanced	0.487606793498844	0.0157702554966545	0.02
16	Unbalanced JS	0.152413314599358	0.0300920791924487	0.02
16	Unbalanced OLS	0.141475278323598	0.0269399711670139	0.02
18	Balanced	0.547009320434142	0.0349138968023759	0.02
18	Unbalanced JS	0.170795508138857	0.0369424787009549	0.02
18	Unbalanced OLS	0.160100235981056	0.0345196547435203	0.02
20	Balanced	0.544974622358243	0.0169959334298081	0.02
20	Unbalanced JS	0.138853881025635	0.0228272361725697	0.02
20	Unbalanced OLS	0.129267642206054	0.0208485866375532	0.02
22	Balanced	0.587918585949675	0.0201675621951837	0.02
22	Unbalanced JS	0.140799282793475	0.0177252688780198	0.02
22	Unbalanced OLS	0.132813183781132	0.0164909724779693	0.02
24	Balanced	0.625425563668138	0.0249143019727904	0.02
24	Unbalanced JS	0.157563928596955	0.0320879280938819	0.02
24	Unbalanced OLS	0.150210810993858	0.0308685910014491	0.02
4	Balanced	0.207460007455382	0.037103577813033	0.03
4	Unbalanced JS	0.267060657637084	0.053942529030135	0.03
4	Unbalanced OLS	0.203572714137844	0.0334003226908606	0.03
6	Balanced	0.283930850911368	0.018635900454716	0.03
6	Unbalanced JS	0.221840613321284	0.0413542761291416	0.03
6	Unbalanced OLS	0.183871087659353	0.0299632697382011	0.03
8	Balanced	0.323521414870212	0.0133030623043948	0.03
8	Unbalanced JS	0.204674195018885	0.0449401066795732	0.03
8	Unbalanced OLS	0.176234131824739	0.0387600691203766	0.03
10	Balanced	0.451305770051727	0.0264844048878266	0.03
10	Unbalanced JS	0.205902598989392	0.0514619308630461	0.03
10	Unbalanced OLS	0.184080762835162	0.0466605895403808	0.03
12	Balanced	0.412038607484051	0.0241856176456882	0.03
12	Unbalanced JS	0.218463153817858	0.0699304988919946	0.03
12	Unbalanced OLS	0.200422939956651	0.0619932374236175	0.03
14	Balanced	0.477643123840023	0.0210137224242615	0.03
14	Unbalanced JS	0.218299901205874	0.0545546252517051	0.03
14	Unbalanced OLS	0.202401540303581	0.0492900670055259	0.03
16	Balanced	0.523755339018692	0.0223033598120955	0.03
16	Unbalanced JS	0.168524443404547	0.0348658886113145	0.03
16	Unbalanced OLS	0.156195041014654	0.0314980893129621	0.03
18	Balanced	0.582198278962539	0.045241710469399	0.03
18	Unbalanced JS	0.189114606690188	0.041155179512801	0.03
18	Unbalanced OLS	0.176532989199079	0.0385785278966295	0.03
20	Balanced	0.582564320038932	0.0240490262988349	0.03
20	Unbalanced JS	0.155481247291823	0.0266289797732605	0.03
20	Unbalanced OLS	0.145667876834171	0.0244970127635428	0.03
22	Balanced	0.624092127430689	0.0277147032513239	0.03
22	Unbalanced JS	0.156924133528252	0.0205953756488795	0.03
22	Unbalanced OLS	0.148016030372076	0.0193914363261263	0.03
24	Balanced	0.661508282642666	0.0345923468650381	0.03
24	Unbalanced JS	0.173556019163124	0.0358537079329154	0.03
24	Unbalanced OLS	0.165314386122521	0.0341714217037732	0.03
4	Balanced	0.222338716716037	0.0418672191261539	0.04
4	Unbalanced JS	0.284330049514199	0.0604709244320129	0.04
4	Unbalanced OLS	0.217986327820746	0.0375366230832284	0.04
6	Balanced	0.30537081267292	0.0230246163657402	0.04
6	Unbalanced JS	0.237138282779408	0.046462868604808	0.04
6	Unbalanced OLS	0.196931642186969	0.0344079733424582	0.04
8	Balanced	0.348844256218536	0.0168418632655805	0.04
8	Unbalanced JS	0.220067918978885	0.0492369000678252	0.04
8	Unbalanced OLS	0.189988156036682	0.042345729724861	0.04
10	Balanced	0.479025618435647	0.0320921644454476	0.04
10	Unbalanced JS	0.220910811400266	0.0561867977687179	0.04
10	Unbalanced OLS	0.197656885237286	0.0500260139371246	0.04
12	Balanced	0.437676393590686	0.0292526480451194	0.04
12	Unbalanced JS	0.234021434810717	0.0775429562932498	0.04
12	Unbalanced OLS	0.214688029231561	0.0691120231277158	0.04
14	Balanced	0.504772797219198	0.0273313437032847	0.04
14	Unbalanced JS	0.23322217890401	0.0602207294174391	0.04
14	Unbalanced OLS	0.217022602984338	0.0549090127733715	0.04
16	Balanced	0.550749741760959	0.0283413344963726	0.04
16	Unbalanced JS	0.181899425758339	0.0387280258007611	0.04
16	Unbalanced OLS	0.168688430651405	0.0353914776407024	0.04
18	Balanced	0.609312860414757	0.0545672065015884	0.04
18	Unbalanced JS	0.204041836781798	0.0452583124865802	0.04
18	Unbalanced OLS	0.191088014132216	0.0420501214495579	0.04
20	Balanced	0.611722689410691	0.0314267921031661	0.04
20	Unbalanced JS	0.169433561853041	0.0305048591728463	0.04
20	Unbalanced OLS	0.157825835434829	0.0276644188166055	0.04
22	Balanced	0.652518487590245	0.035801403230825	0.04
22	Unbalanced JS	0.170906533808159	0.0230034993472712	0.04
22	Unbalanced OLS	0.16065996128072	0.0215825852005411	0.04
24	Balanced	0.689232285132658	0.0448563331695456	0.04
