Total	Test_Condition	PPV	TPR	q
22	Unbalanced JS	0.977477696298572	0.120460734819658	0.01
22	Unbalanced OLS	0.978738405896181	0.113519519918012	0.01
24	Balanced	0.987257919501448	0.571585267520808	0.01
24	Unbalanced JS	0.96757292269281	0.136593203257912	0.01
24	Unbalanced OLS	0.968521928178201	0.130019803024644	0.01
4	Balanced	0.956115752183921	0.188085955356046	0.02
4	Unbalanced JS	0.935843864222013	0.245887008469055	0.02
4	Unbalanced OLS	0.950199855153411	0.186735574804366	0.02
6	Balanced	0.977793642911257	0.257335955800363	0.02
6	Unbalanced JS	0.948337423349613	0.202488095771413	0.02
6	Unbalanced OLS	0.957228395792844	0.166428378140546	0.02
8	Balanced	0.984182037520793	0.294971501358945	0.02
8	Unbalanced JS	0.952584517809082	0.185733441009844	0.02
8	Unbalanced OLS	0.958986315298607	0.159585039742493	0.02
10	Balanced	0.979583719439871	0.416431264518921	0.02
10	Unbalanced JS	0.951932662044076	0.188508284231452	0.02
10	Unbalanced OLS	0.956481274579497	0.167484772081268	0.02
12	Balanced	0.980221585455589	0.378899045232589	0.02
12	Unbalanced JS	0.924383460338293	0.199932136550387	0.02
12	Unbalanced OLS	0.928367290697298	0.182029221150388	0.02
14	Balanced	0.983614111590022	0.443321886775037	0.02
14	Unbalanced JS	0.946404557085326	0.199887359338529	0.02
14	Unbalanced OLS	0.948941799657041	0.18412851922529	0.02
16	Balanced	0.984546964010907	0.487606793498844	0.02
16	Unbalanced JS	0.948687616325608	0.152413314599358	0.02
16	Unbalanced OLS	0.951478496134032	0.141475278323598	0.02
18	Balanced	0.970400636294597	0.547009320434142	0.02
18	Unbalanced JS	0.952669824083127	0.170795508138857	0.02
18	Unbalanced OLS	0.954863851890485	0.160100235981056	0.02
20	Balanced	0.984139210306465	0.544974622358243	0.02
20	Unbalanced JS	0.964000545230016	0.138853881025635	0.02
20	Unbalanced OLS	0.96609549526383	0.129267642206054	0.02
22	Balanced	0.982627129022953	0.587918585949675	0.02
22	Unbalanced JS	0.975255541459504	0.140799282793475	0.02
22	Unbalanced OLS	0.97616242254356	0.132813183781132	0.02
24	Balanced	0.979595175616315	0.625425563668138	0.02
24	Unbalanced JS	0.965387307244527	0.157563928596955	0.02
24	Unbalanced OLS	0.965866865616684	0.150210810993858	0.02
4	Balanced	0.951286848879155	0.207460007455382	0.03
4	Unbalanced JS	0.92967826511354	0.267060657637084	0.03
4	Unbalanced OLS	0.944924146891815	0.203572714137844	0.03
6	Balanced	0.971821572243747	0.283930850911368	0.03
6	Unbalanced JS	0.942972617104614	0.221840613321284	0.03
6	Unbalanced OLS	0.953080163114597	0.183871087659353	0.03
8	Balanced	0.980952524566232	0.323521414870212	0.03
8	Unbalanced JS	0.948998368504159	0.204674195018885	0.03
8	Unbalanced OLS	0.954741877232518	0.176234131824739	0.03
10	Balanced	0.974779502931487	0.451305770051727	0.03
10	Unbalanced JS	0.94850471738341	0.205902598989392	0.03
10	Unbalanced OLS	0.952571761094696	0.184080762835162	0.03
12	Balanced	0.975691487617084	0.412038607484051	0.03
12	Unbalanced JS	0.918374597845044	0.218463153817858	0.03
12	Unbalanced OLS	0.924079866275019	0.200422939956651	0.03
14	Balanced	0.979236125470033	0.477643123840023	0.03
14	Unbalanced JS	0.94158167554011	0.218299901205874	0.03
14	Unbalanced OLS	0.945789126048664	0.202401540303581	0.03
