run_accession	fastq_ftp	lane	Sample_ID
ERR458571	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458571/ERR458571.fastq.gz	2	SA-PE-001
ERR458572	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458572/ERR458572.fastq.gz	3	SA-PE-001
ERR458573	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458573/ERR458573.fastq.gz	4	SA-PE-001
ERR458574	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458574/ERR458574.fastq.gz	5	SA-PE-001
ERR458575	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458575/ERR458575.fastq.gz	6	SA-PE-001
ERR458576	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458576/ERR458576.fastq.gz	7	SA-PE-001
ERR458577	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458577/ERR458577.fastq.gz	1	SA-PE-002
ERR458578	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458578/ERR458578.fastq.gz	2	SA-PE-002
ERR458579	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458579/ERR458579.fastq.gz	3	SA-PE-002
ERR458580	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458580/ERR458580.fastq.gz	4	SA-PE-002
ERR458581	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458581/ERR458581.fastq.gz	5	SA-PE-002
ERR458582	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458582/ERR458582.fastq.gz	6	SA-PE-002
ERR458583	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458583/ERR458583.fastq.gz	7	SA-PE-002
ERR458584	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458584/ERR458584.fastq.gz	1	SA-PE-059
ERR458585	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458585/ERR458585.fastq.gz	2	SA-PE-059
ERR458586	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458586/ERR458586.fastq.gz	3	SA-PE-059
ERR458587	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458587/ERR458587.fastq.gz	4	SA-PE-059
ERR458588	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458588/ERR458588.fastq.gz	5	SA-PE-059
ERR458589	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458589/ERR458589.fastq.gz	6	SA-PE-059
ERR458590	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458590/ERR458590.fastq.gz	7	SA-PE-059
ERR458591	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458591/ERR458591.fastq.gz	1	SA-PE-033
ERR458592	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458592/ERR458592.fastq.gz	2	SA-PE-033
ERR458593	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458593/ERR458593.fastq.gz	3	SA-PE-033
ERR458594	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458594/ERR458594.fastq.gz	4	SA-PE-033
ERR458595	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458595/ERR458595.fastq.gz	5	SA-PE-033
ERR458596	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458596/ERR458596.fastq.gz	6	SA-PE-033
ERR458597	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458597/ERR458597.fastq.gz	7	SA-PE-033
ERR458598	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458598/ERR458598.fastq.gz	1	SA-PE-075
ERR458599	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458599/ERR458599.fastq.gz	2	SA-PE-075
ERR458600	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458600/ERR458600.fastq.gz	3	SA-PE-075
ERR458601	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458601/ERR458601.fastq.gz	4	SA-PE-075
ERR458602	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458602/ERR458602.fastq.gz	5	SA-PE-075
ERR458603	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458603/ERR458603.fastq.gz	6	SA-PE-075
ERR458604	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458604/ERR458604.fastq.gz	7	SA-PE-075
ERR458605	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458605/ERR458605.fastq.gz	1	SA-PE-072
ERR458606	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458606/ERR458606.fastq.gz	2	SA-PE-072
ERR458607	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458607/ERR458607.fastq.gz	3	SA-PE-072
ERR458608	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458608/ERR458608.fastq.gz	4	SA-PE-072
ERR458609	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458609/ERR458609.fastq.gz	5	SA-PE-072
ERR458610	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458610/ERR458610.fastq.gz	6	SA-PE-072
ERR458611	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458611/ERR458611.fastq.gz	7	SA-PE-072
ERR458612	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458612/ERR458612.fastq.gz	1	SA-PE-089
ERR458613	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458613/ERR458613.fastq.gz	2	SA-PE-089
ERR458614	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458614/ERR458614.fastq.gz	3	SA-PE-089
ERR458615	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458615/ERR458615.fastq.gz	4	SA-PE-089
ERR458616	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458616/ERR458616.fastq.gz	5	SA-PE-089
ERR458617	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458617/ERR458617.fastq.gz	6	SA-PE-089
ERR458618	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458618/ERR458618.fastq.gz	7	SA-PE-089
ERR458619	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458619/ERR458619.fastq.gz	1	SA-PE-040
ERR458620	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458620/ERR458620.fastq.gz	2	SA-PE-040
ERR458621	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458621/ERR458621.fastq.gz	3	SA-PE-040
ERR458622	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458622/ERR458622.fastq.gz	4	SA-PE-040
ERR458623	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458623/ERR458623.fastq.gz	5	SA-PE-040
ERR458624	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458624/ERR458624.fastq.gz	6	SA-PE-040
ERR458625	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458625/ERR458625.fastq.gz	7	SA-PE-040
ERR458626	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458626/ERR458626.fastq.gz	1	SA-PE-084
ERR458627	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458627/ERR458627.fastq.gz	2	SA-PE-084
ERR458628	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458628/ERR458628.fastq.gz	3	SA-PE-084
ERR458629	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458629/ERR458629.fastq.gz	4	SA-PE-084
ERR458630	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458630/ERR458630.fastq.gz	5	SA-PE-084
ERR458631	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458631/ERR458631.fastq.gz	6	SA-PE-084
ERR458632	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458632/ERR458632.fastq.gz	7	SA-PE-084
ERR458633	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458633/ERR458633.fastq.gz	1	SA-PE-015
ERR458634	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458634/ERR458634.fastq.gz	2	SA-PE-015
ERR458635	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458635/ERR458635.fastq.gz	3	SA-PE-015
ERR458636	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458636/ERR458636.fastq.gz	4	SA-PE-015
ERR458637	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458637/ERR458637.fastq.gz	5	SA-PE-015
ERR458638	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458638/ERR458638.fastq.gz	6	SA-PE-015
ERR458639	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458639/ERR458639.fastq.gz	7	SA-PE-015
ERR458640	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458640/ERR458640.fastq.gz	1	SA-PE-031
ERR458641	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458641/ERR458641.fastq.gz	2	SA-PE-031
ERR458642	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458642/ERR458642.fastq.gz	3	SA-PE-031
ERR458643	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458643/ERR458643.fastq.gz	4	SA-PE-031
ERR458644	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458644/ERR458644.fastq.gz	5	SA-PE-031
ERR458645	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458645/ERR458645.fastq.gz	6	SA-PE-031
ERR458646	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458646/ERR458646.fastq.gz	7	SA-PE-031
ERR458647	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458647/ERR458647.fastq.gz	1	SA-PE-053
ERR458648	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458648/ERR458648.fastq.gz	2	SA-PE-053
ERR458649	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458649/ERR458649.fastq.gz	3	SA-PE-053
ERR458650	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458650/ERR458650.fastq.gz	4	SA-PE-053
ERR458651	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458651/ERR458651.fastq.gz	5	SA-PE-053
ERR458652	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458652/ERR458652.fastq.gz	6	SA-PE-053
ERR458653	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458653/ERR458653.fastq.gz	7	SA-PE-053
ERR458654	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458654/ERR458654.fastq.gz	1	SA-PE-025
ERR458655	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458655/ERR458655.fastq.gz	2	SA-PE-025
ERR458656	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458656/ERR458656.fastq.gz	3	SA-PE-025
ERR458657	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458657/ERR458657.fastq.gz	4	SA-PE-025
ERR458658	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458658/ERR458658.fastq.gz	5	SA-PE-025
ERR458659	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458659/ERR458659.fastq.gz	6	SA-PE-025
ERR458660	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458660/ERR458660.fastq.gz	7	SA-PE-025
ERR458661	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458661/ERR458661.fastq.gz	1	SA-PE-042
ERR458662	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458662/ERR458662.fastq.gz	2	SA-PE-042
ERR458663	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458663/ERR458663.fastq.gz	3	SA-PE-042
ERR458664	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458664/ERR458664.fastq.gz	4	SA-PE-042
ERR458665	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458665/ERR458665.fastq.gz	5	SA-PE-042
ERR458666	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458666/ERR458666.fastq.gz	6	SA-PE-042
ERR458667	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458667/ERR458667.fastq.gz	7	SA-PE-042
ERR458668	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458668/ERR458668.fastq.gz	1	SA-PE-081
ERR458669	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458669/ERR458669.fastq.gz	2	SA-PE-081
ERR458670	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458670/ERR458670.fastq.gz	3	SA-PE-081
ERR458671	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458671/ERR458671.fastq.gz	4	SA-PE-081
ERR458672	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458672/ERR458672.fastq.gz	5	SA-PE-081
ERR458673	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458673/ERR458673.fastq.gz	6	SA-PE-081
ERR458674	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458674/ERR458674.fastq.gz	7	SA-PE-081
ERR458675	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458675/ERR458675.fastq.gz	1	SA-PE-071
ERR458676	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458676/ERR458676.fastq.gz	2	SA-PE-071
ERR458677	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458677/ERR458677.fastq.gz	3	SA-PE-071
ERR458678	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458678/ERR458678.fastq.gz	4	SA-PE-071
ERR458679	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458679/ERR458679.fastq.gz	5	SA-PE-071
ERR458680	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458680/ERR458680.fastq.gz	6	SA-PE-071
ERR458681	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458681/ERR458681.fastq.gz	7	SA-PE-071
ERR458682	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458682/ERR458682.fastq.gz	1	SA-PE-034
ERR458683	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458683/ERR458683.fastq.gz	2	SA-PE-034
ERR458684	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458684/ERR458684.fastq.gz	3	SA-PE-034
ERR458685	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458685/ERR458685.fastq.gz	4	SA-PE-034
