Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40
SA-PE-002_4 - illumina_universal_adapter	0.031545032339678196	0.03170556685540175	0.03178583411326352	0.031946368628987074	0.03218717040257241	0.032427972176157734	0.03266877394974307	0.033551713786222605	0.03419385184911682	0.03571892974849057	0.036120266037799456	0.03684267135855545	0.037565076679311436	0.03780587845289676	0.03860855103151453	0.03860855103151453	0.03876908554723808	0.03925068909440874	0.04005336167302651	0.04663527681769219	0.046876078591277515	0.047357682138448175	0.048160354717065944	0.049123561811407264	0.050247303421472135	0.05080917422650457	0.05177238132084589	0.056427882276828926	0.0585950982390969	0.06092284871708842	0.12481558597506257	0.12874868161028963	0.12931055241532205	0.1301934922518016	0.1305145612832487	0.13099616483041937	0.13131723386186647	0.13171857015117536	0.1318791046668989	0.13236070821406956
SA-PE-002_5 - illumina_universal_adapter	0.033086804203970414	0.033457524699253	0.033457524699253	0.03364288494689429	0.03410628556599751	0.03419896568981816	0.03456968618510074	0.034940406680383326	0.03540380729948655	0.037164729652078815	0.0375354501473614	0.03809153089028527	0.0385549315093885	0.0385549315093885	0.038832971880850435	0.03901833212849173	0.03901833212849173	0.03948173274759495	0.0404085339858014	0.0455059407959369	0.04596934141504013	0.04596934141504013	0.046525422157964	0.04698882277706723	0.04773026376763239	0.04791562401527368	0.048286344510556266	0.05227158983484402	0.053939832063615634	0.05644219540677306	0.12382064542438229	0.12724981000574617	0.12799125099631134	0.12808393112013197	0.12817661124395263	0.12864001186305585	0.12901073235833843	0.12938145285362102	0.1299375335965449	0.13012289384418618
SA-PE-002_6 - illumina_universal_adapter	0.0348820724800967	0.0348820724800967	0.0348820724800967	0.03534841034747767	0.035628213067906256	0.035908015788334836	0.036467621229192004	0.03684069152309678	0.03730702939047775	0.03861277541914448	0.03935891600695403	0.039638718727382616	0.03973198630085881	0.040291591741715975	0.040664662035620754	0.04103773232952553	0.04103773232952553	0.04159733777038269	0.04253001350514464	0.04961834908933541	0.049711616662811604	0.0498048842362878	0.05036448967714497	0.05129716541190691	0.05250964386709744	0.053162516881430796	0.05446826291009752	0.05903837401043104	0.061743133641240684	0.06398155540466935	0.13253322190967223	0.13505144639352948	0.13570431940786282	0.13579758698133904	0.13598412212829142	0.13635719242219618	0.13682353028957717	0.13728986815695812	0.13766293845086292	0.1378494735978153
SA-PE-002_7 - illumina_universal_adapter	0.040037835754788274	0.0403238202958939	0.040395316431170315	0.04075279710755235	0.041038781648657985	0.04161075073086924	0.04189673527197487	0.04239720821890973	0.043112169571673804	0.04447059614192555	0.04482807681830759	0.04561453430634807	0.04575752657690089	0.0459005188474537	0.04661548020021778	0.04690146474132341	0.046972960876599815	0.04768792222936389	0.048760364258510006	0.05448005508062262	0.055195016433386694	0.05555249710976873	0.0561959623272564	0.05733990049167892	0.05798336570916659	0.05869832706193067	0.059413288414694745	0.06384604880183202	0.06584794058957143	0.0683503053242457	0.13913147924788927	0.14220581306477478	0.14284927828226246	0.1434212473644737	0.14363573577030295	0.14399321644668497	0.1442792009877906	0.14449368939361984	0.14485117007000187	0.14585211596387157
SA-PE-008_1 - illumina_universal_adapter	0.05056239388794567	0.050933786078098474	0.05098684210526316	0.051305178268251275	0.05146434634974533	0.05172962648556876	0.052207130730050934	0.052578522920203735	0.053268251273344655	0.054806876061120544	0.05523132427843803	0.0557088285229202	0.05602716468590832	0.05613327674023769	0.05666383701188455	0.056823005093378606	0.05698217317487267	0.05804329371816638	0.05867996604414261	0.07284592529711376	0.07358870967741936	0.07422538200339558	0.0749151103565365	0.07650679117147707	0.07778013582342955	0.0786820882852292	0.07937181663837012	0.08579159592529711	0.08865662139219015	0.0918399830220713	0.18304329371816638	0.1855899830220713	0.18654499151103565	0.18744694397283532	0.1878713921901528	0.18803056027164686	0.1886141765704584	0.18946307300509338	0.1897814091680815	0.19036502546689305
SA-PE-008_2 - illumina_universal_adapter	0.04179741653678093	0.04190377128623839	0.041956948660967115	0.0421164807851533	0.04254189978298313	0.04286096403135551	0.043073673530270425	0.04403086627538754	0.04472217214686102	0.046104783889807974	0.04631749338872289	0.046902444510738904	0.047327863508568734	0.04748739563275492	0.04785963725585603	0.047912814630584756	0.04807234675477094	0.04924224899880298	0.04993355487027645	0.06466368767013436	0.06572723516470894	0.06609947678781004	0.06705666953292716	0.06886470027370395	0.06992824776827852	0.07072590838920946	0.07141721426068294	0.07838345035014642	0.08120185121076906	0.08433931631976406	0.17282646786836897	0.17681477097302364	0.17803785059178442	0.17841009221488552	0.17899504333690153	0.17957999445891756	0.18011176820620484	0.1805903645787634	0.18154755732388053	0.18218568582062528
SA-PE-008_3 - illumina_universal_adapter	0.046812772075669695	0.046920511482057885	0.04702825088844608	0.04729759940441656	0.04789016613955162	0.048105644952328004	0.04848273287468668	0.04896756020343355	0.049236908719404025	0.05015269367370367	0.05058365129925644	0.05096073922161511	0.051445566550361976	0.05176878476952656	0.05236135150466161	0.05246909091104981	0.052576830317438	0.05386970319409631	0.05483935785159005	0.06997674444913111	0.07056931118426617	0.07110800821620714	0.07267022960883593	0.07385536307910605	0.0745556692206293	0.07530984506534665	0.07606402091006399	0.08215129737099687	0.08495252193708988	0.08883114056706481	0.17739293261815917	0.1808405936225813	0.18159476946729866	0.18218733620243371	0.1822950756088219	0.1826182938279865	0.18294151204715106	0.18358794848548024	0.1840727758142271	0.18488082136213854
SA-PE-008_4 - illumina_universal_adapter	0.04048897401651215	0.040726098315291136	0.04084466046468063	0.04108178476345962	0.041378190136933356	0.041674595510407086	0.04203028195857557	0.04256381163082829	0.04297877915369152	0.04398655742350222	0.04440152494636545	0.044816492469228676	0.04499433569331292	0.0452314599920919	0.04570570858964988	0.04582427073903937	0.04600211396312361	0.047009892232934315	0.04801767050274501	0.06117806908497883	0.06212656628009478	0.0626600959523475	0.0635493120727687	0.06497205786544263	0.06597983613525332	0.06645408473281131	0.06722473870384302	0.07291572187453872	0.07653186743091828	0.08038513728607684	0.1653349173236492	0.168654657506555	0.16942531147758672	0.1698995600751447	0.1705516518967869	0.17114446264373437	0.1716779923159871	0.17209295983885034	0.17274505166049253	0.1734564245568295
SA-PE-008_5 - illumina_universal_adapter	0.040974762278087516	0.041247927359941434	0.04131621863040491	0.04145280117133187	0.041794257523649264	0.04206742260550318	0.04240887895782058	0.04302350039199189	0.04343324801477277	0.04493565596496931	0.04500394723543279	0.04555027739914062	0.04609660756284845	0.046164898833311936	0.04691610280841021	0.04712097661980064	0.04732585043119108	0.04848680202907023	0.04896484092231458	0.061120687064813876	0.06180359976944867	0.06207676485130259	0.06310113390825478	0.06398892042428	0.06555961964494003	0.06651569743142874	0.06733519267699048	0.07327653320731317	0.07491552369843668	0.07853496103300107	0.16041619431871262	0.16287468005539787	0.16362588403049616	0.16389904911235006	0.16465025308744835	0.16499170943976574	0.1654697483330101	0.1660843697671814	0.1666989912013527	0.16717703009459706
SA-PE-008_6 - illumina_universal_adapter	0.04012765187032689	0.04039787174824155	0.04046542671772021	0.04080320156511353	0.04093831150407086	0.04134364132094285	0.04161386119885751	0.04208674598520817	0.04269474071051615	0.04364051028321746	0.04391073016113212	0.0443160599780041	0.04458627985591876	0.04472138979487609	0.04512671961174808	0.04519427458122675	0.04526182955070541	0.04607248918444939	0.04668048390975737	0.0612048023476703	0.06221812688985027	0.0627585666456796	0.06444744088264621	0.06586609524169817	0.06728474960075014	0.06789274432605812	0.0685007390513661	0.07437802139600994	0.0771477751446352	0.08025530374065377	0.16875231375770464	0.1723327271400739	0.17314338677381785	0.17341360665173253	0.17375138149912583	0.17415671131599783	0.17483226101078447	0.1753727007666138	0.1765211352477511	0.1770615750035804
