Total	Test_Condition	PPV	TPR	q
10	Unbalanced OLS	0.96469037521883	0.185500888067656	0.03
12	Balanced	0.966770067658043	0.48326385960832	0.03
12	Unbalanced JS	0.956395776671424	0.201853768926936	0.03
12	Unbalanced OLS	0.96237811289112	0.169182559712462	0.03
14	Balanced	0.973458647925828	0.486700148931854	0.03
14	Unbalanced JS	0.944902223538137	0.190487315612782	0.03
14	Unbalanced OLS	0.952501445716191	0.163079709778595	0.03
16	Balanced	0.974029847118999	0.530256176584782	0.03
16	Unbalanced JS	0.948386165578351	0.187913087330027	0.03
16	Unbalanced OLS	0.954589362112683	0.160633437853244	0.03
18	Balanced	0.97995334797055	0.588807741724366	0.03
18	Unbalanced JS	0.970061456793606	0.177936501370637	0.03
18	Unbalanced OLS	0.974675777612052	0.153946037922653	0.03
20	Balanced	0.97325076354681	0.60476726843677	0.03
20	Unbalanced JS	0.974181420940411	0.159235979481107	0.03
20	Unbalanced OLS	0.976821047032705	0.13689644159744	0.03
22	Balanced	0.973693425840078	0.626861937762827	0.03
22	Unbalanced JS	0.963204534553623	0.19662859369564	0.03
22	Unbalanced OLS	0.967854758084141	0.172444234473749	0.03
24	Balanced	0.978682272827491	0.667758996959022	0.03
24	Unbalanced JS	0.953708681485827	0.183240442384409	0.03
24	Unbalanced OLS	0.962013600938166	0.16065227877889	0.03
4	Balanced	0.982506629296549	0.194728279744578	0.04
4	Unbalanced JS	0.925285129969658	0.250185355679105	0.04
4	Unbalanced OLS	0.946429600905553	0.177317664984211	0.04
6	Balanced	0.965924974016358	0.32593073794367	0.04
6	Unbalanced JS	0.96170751339337	0.272834888657504	0.04
6	Unbalanced OLS	0.97188558463979	0.221627335203625	0.04
8	Balanced	0.977516383623865	0.34767443996395	0.04
8	Unbalanced JS	0.945246238756346	0.221761555235737	0.04
8	Unbalanced OLS	0.955286563247351	0.18007076262026	0.04
10	Balanced	0.980078352585883	0.404793198173895	0.04
10	Unbalanced JS	0.951484486509473	0.239245913595594	0.04
10	Unbalanced OLS	0.961437785337979	0.20037456235998	0.04
