Total	Iteration	Method	MSE	Mean_Balanced	Rel_MSE
3	13	Unbalanced_JS	0.0110400984502998	0.0335501563589254	0.329062503679293
3	14	Unbalanced_JS	0.00118862468225221	0.0335501563589254	0.0354282903941221
3	15	Unbalanced_JS	0.0237776871098772	0.0335501563589254	0.708720604920567
3	16	Unbalanced_JS	0.0332992647170855	0.0335501563589254	0.992521893515016
3	17	Unbalanced_JS	0.0713263487478534	0.0335501563589254	2.125961738741
3	18	Unbalanced_JS	0.119502396857811	0.0335501563589254	3.56190282928501
3	19	Unbalanced_JS	0.0139208775626967	0.0335501563589254	0.414927352760111
3	20	Unbalanced_JS	0.0109697853299187	0.0335501563589254	0.326966742347249
3	21	Unbalanced_JS	0.0339347699874515	0.0335501563589254	1.01146384012078
3	22	Unbalanced_JS	0.0153009174901001	0.0335501563589254	0.45606098899833
