target_id	Test_Condition	MSE	SE_SD
YAL026C_mRNA	Unbalanced OLS	0.0116308716119303	0.0159679631066724
YAL026C_mRNA	Unbalanced JS	0.0114693168548007	0.0158485504617484
YAL027W_mRNA	Balanced	0.00419212137382042	0.00748703353775336
YAL027W_mRNA	Unbalanced OLS	0.0128012475747839	0.0198112062674286
YAL027W_mRNA	Unbalanced JS	0.0125630344837317	0.019325885070192
YAL028W_mRNA	Balanced	0.00823433019082623	0.0149019460168485
YAL028W_mRNA	Unbalanced OLS	0.0269952293863214	0.0475386724387551
YAL028W_mRNA	Unbalanced JS	0.0266797288503975	0.0468591400749422
YAL029C_mRNA	Balanced	0.00445953577686104	0.00768297692249661
YAL029C_mRNA	Unbalanced OLS	0.0151247489829292	0.0188627473426218
