Total	Test_Condition	TPR	FPR	q
4	Unbalanced OLS	0.148632168698091	0.0216811253815717	0.02
6	Balanced	0.276503699867752	0.0182736656130037	0.02
6	Unbalanced JS	0.234978742736265	0.0195263614613148	0.02
6	Unbalanced OLS	0.187265618280205	0.0119002655198139	0.02
8	Balanced	0.29452938854259	0.0108372005959452	0.02
8	Unbalanced JS	0.188156963974277	0.0354434798275769	0.02
8	Unbalanced OLS	0.151239296543199	0.02809574224463	0.02
10	Balanced	0.34462934869551	0.00908484709347013	0.02
10	Unbalanced JS	0.202806881832253	0.0237187251160849	0.02
10	Unbalanced OLS	0.16582035814494	0.0158730456226743	0.02
12	Balanced	0.449348258419921	0.0241241517824393	0.02
12	Unbalanced JS	0.182722051605858	0.0234617743073315	0.02
12	Unbalanced OLS	0.151731086976004	0.0170181734619161	0.02
14	Balanced	0.450196115280226	0.0180770720215481	0.02
14	Unbalanced JS	0.174057927331108	0.03444688404231	0.02
14	Unbalanced OLS	0.147101073026551	0.0270740294137751	0.02
16	Balanced	0.494907065358779	0.021619419031796	0.02
16	Unbalanced JS	0.169423517520171	0.031070285365661	0.02
16	Unbalanced OLS	0.144096867259303	0.0258819310949887	0.02
18	Balanced	0.551934272096607	0.0171349586215594	0.02
18	Unbalanced JS	0.162118236284404	0.0179227453605808	0.02
18	Unbalanced OLS	0.139247230624144	0.0153299193166994	0.02
20	Balanced	0.568555989586007	0.0235932181849501	0.02
20	Unbalanced JS	0.143542632658208	0.0108776137268956	0.02
20	Unbalanced OLS	0.123401470072342	0.00853316107966384	0.02
22	Balanced	0.591826259795673	0.0222110926694188	0.02
22	Unbalanced JS	0.178529031276429	0.023289556510541	0.02
22	Unbalanced OLS	0.155447343073642	0.0197197416083327	0.02
24	Balanced	0.631327487594028	0.0193031983424267	0.02
24	Unbalanced JS	0.166041225501837	0.0191755985956673	0.02
24	Unbalanced OLS	0.143611226090453	0.0124563493144323	0.02
4	Balanced	0.179891222803376	0.00733723148129784	0.03
4	Unbalanced JS	0.233797117389343	0.0469367875578304	0.03
4	Unbalanced OLS	0.164563124204188	0.0263094536262059	0.03
6	Balanced	0.303830306969543	0.0226749193403163	0.03
6	Unbalanced JS	0.255955843487409	0.0246196297782902	0.03
6	Unbalanced OLS	0.206279832840338	0.0151415618988179	0.03
8	Balanced	0.323824837088763	0.0143737797689433	0.03
8	Unbalanced JS	0.206552180536771	0.0402592763438943	0.03
8	Unbalanced OLS	0.167481269020265	0.0318453926232362	0.03
10	Balanced	0.377927823569076	0.0132559070772992	0.03
10	Unbalanced JS	0.222822576772116	0.0288945184176537	0.03
10	Unbalanced OLS	0.185500888067656	0.0205209879470146	0.03
12	Balanced	0.48326385960832	0.0323705728237059	0.03
12	Unbalanced JS	0.201853768926936	0.0286221837648114	0.03
12	Unbalanced OLS	0.169182559712462	0.0214387296067516	0.03
14	Balanced	0.486700148931854	0.0257071009770216	0.03
14	Unbalanced JS	0.190487315612782	0.0399317643075626	0.03
14	Unbalanced OLS	0.163079709778595	0.032327915664879	0.03
16	Balanced	0.530256176584782	0.0289955842070276	0.03
16	Unbalanced JS	0.187913087330027	0.0356703856554963	0.03
16	Unbalanced OLS	0.160633437853244	0.0298795390591923	0.03
18	Balanced	0.588807741724367	0.023711633664567	0.03
18	Unbalanced JS	0.177936501370637	0.0205151720150598	0.03
18	Unbalanced OLS	0.153946037922653	0.0177049147705941	0.03
20	Balanced	0.60476726843677	0.0326276118012468	0.03
20	Unbalanced JS	0.159235979481107	0.01345424870321	0.03
20	Unbalanced OLS	0.13689644159744	0.0108936313934248	0.03
22	Balanced	0.626861937762827	0.0318810401588393	0.03
22	Unbalanced JS	0.19662859369564	0.0269666071150831	0.03
22	Unbalanced OLS	0.172444234473748	0.0232120345418489	0.03
24	Balanced	0.667758996959022	0.0273023900410352	0.03
24	Unbalanced JS	0.183240442384409	0.0248876898923175	0.03
24	Unbalanced OLS	0.16065227877889	0.0177354817074231	0.03
4	Balanced	0.194728279744578	0.00891220695784223	0.04
4	Unbalanced JS	0.250185355679105	0.0528780574667709	0.04
4	Unbalanced OLS	0.177317664984211	0.0306745981120564	0.04
6	Balanced	0.32593073794367	0.0268912269843244	0.04
6	Unbalanced JS	0.272834888657504	0.0291728934063065	0.04
6	Unbalanced OLS	0.221627335203625	0.0181823326774184	0.04
8	Balanced	0.34767443996395	0.0181412474475652	0.04
8	Unbalanced JS	0.221761555235737	0.0442417874833382	0.04
8	Unbalanced OLS	0.18007076262026	0.0351483606710847	0.04
10	Balanced	0.404793198173895	0.0168707739783865	0.04
10	Unbalanced JS	0.239245913595594	0.0337449474306095	0.04
10	Unbalanced OLS	0.20037456235998	0.0243986198479036	0.04
12	Balanced	0.510856927199958	0.0406788069781977	0.04
12	Unbalanced JS	0.217020576882395	0.0329479563816042	0.04
12	Unbalanced OLS	0.183274087639726	0.0250852369410838	0.04
14	Balanced	0.515119415397067	0.0324413206860181	0.04
14	Unbalanced JS	0.204453394176376	0.0446908614902591	0.04
