SA-PE-004_4	12.0	2.0	0.0	2.0	4.0	3.0	15.0	14.0	35.0	76.0	117.0	182.0	310.0	424.0	534.0	650.0	841.0	1103.0	1396.0	1929.0	2675.0	3797.0	5622.0	8202.0	11733.0	16948.0	23906.0	31884.0	42896.0	55242.0	70010.0	87746.0	110404.0	141985.0	189195.0	246652.0	308093.0	288181.0	222.0
SA-PE-004_5	16.0	6.0	0.0	6.0	3.0	10.0	8.0	22.0	37.0	64.0	100.0	160.0	249.0	375.0	431.0	606.0	776.0	983.0	1372.0	1728.0	2424.0	3501.0	5035.0	7243.0	10683.0	15148.0	21110.0	28912.0	38297.0	48760.0	62032.0	76538.0	94776.0	120126.0	155139.0	202004.0	257372.0	274013.0	258.0
SA-PE-004_6	11.0	3.0	3.0	0.0	4.0	4.0	9.0	13.0	40.0	65.0	105.0	185.0	249.0	375.0	474.0	633.0	778.0	1030.0	1334.0	1870.0	2414.0	3535.0	5126.0	7424.0	10663.0	15544.0	21312.0	29111.0	38334.0	49593.0	62664.0	77516.0	96212.0	121934.0	157393.0	203709.0	256917.0	266911.0	191.0
SA-PE-004_7	4.0	6.0	3.0	0.0	5.0	8.0	8.0	15.0	34.0	84.0	125.0	221.0	368.0	449.0	636.0	738.0	952.0	1259.0	1710.0	2313.0	3178.0	4426.0	6306.0	9208.0	13297.0	19265.0	26620.0	36201.0	47328.0	61254.0	77011.0	94919.0	118375.0	149224.0	192467.0	254710.0	333501.0	386992.0	319.0
SA-PE-005_1	7.0	2.0	1.0	1.0	2.0	4.0	11.0	9.0	27.0	28.0	70.0	106.0	169.0	247.0	307.0	446.0	560.0	753.0	1039.0	1415.0	1978.0	2724.0	4050.0	5704.0	8644.0	12408.0	17416.0	24254.0	32794.0	42527.0	54787.0	68361.0	86078.0	109725.0	142643.0	189493.0	247641.0	265625.0	183.0
SA-PE-005_2	6.0	1.0	3.0	1.0	2.0	6.0	7.0	14.0	23.0	32.0	83.0	110.0	187.0	255.0	351.0	415.0	544.0	735.0	944.0	1357.0	1855.0	2605.0	4093.0	5777.0	8492.0	12310.0	17878.0	24382.0	33071.0	42650.0	54491.0	68080.0	86066.0	109095.0	141663.0	185974.0	242167.0	273781.0	257.0
SA-PE-005_3	8.0	1.0	3.0	1.0	3.0	4.0	2.0	12.0	28.0	40.0	74.0	135.0	159.0	244.0	341.0	416.0	578.0	785.0	963.0	1347.0	2057.0	2727.0	3914.0	5964.0	8881.0	12478.0	17666.0	24486.0	33447.0	43101.0	54957.0	69578.0	87340.0	110506.0	142733.0	187701.0	240605.0	258332.0	186.0
SA-PE-005_4	2.0	1.0	1.0	0.0	3.0	6.0	2.0	10.0	19.0	19.0	58.0	106.0	170.0	236.0	291.0	373.0	497.0	728.0	928.0	1188.0	1643.0	2358.0	3590.0	5172.0	7553.0	11239.0	15985.0	21892.0	29745.0	38972.0	50108.0	62885.0	79904.0	102393.0	136549.0	179626.0	223573.0	206749.0	148.0
SA-PE-005_5	5.0	3.0	0.0	1.0	2.0	3.0	7.0	11.0	18.0	34.0	53.0	101.0	150.0	182.0	264.0	365.0	447.0	604.0	811.0	1086.0	1486.0	2208.0	3056.0	4635.0	6859.0	9870.0	13977.0	19594.0	25904.0	33725.0	43617.0	54714.0	68597.0	86968.0	113590.0	148133.0	186426.0	195262.0	158.0
SA-PE-005_6	9.0	1.0	0.0	0.0	2.0	2.0	7.0	10.0	14.0	29.0	47.0	92.0	139.0	220.0	266.0	402.0	454.0	641.0	778.0	1171.0	1608.0	2281.0	3295.0	4686.0	7127.0	10175.0	14469.0	19891.0	26588.0	34977.0	44451.0	55593.0	69664.0	88671.0	114487.0	148779.0	188650.0	191197.0	127.0
